,Year,State,Total in Labor Force,Total Unemployed in Civilian Labor Force
184,2018,California,20169143,1108664
185,2018,Colorado,3138416,122498
186,2018,Delaware,489706,27858
187,2018,District of Columbia,414568,31074
188,2018,Connecticut,1936101,106371
189,2018,Florida,10316295,530845
190,2018,Georgia,5245825,249896
191,2018,Idaho,843615,33438
192,2018,Hawaii,752795,27230
193,2018,Illinois,6676623,368739
194,2018,Indiana,3391849,149266
195,2018,Iowa,1678071,60717
196,2018,Kansas,1515474,57197
197,2018,Kentucky,2117233,109879
198,2018,Louisiana,2168385,137130
199,2018,Maine,704960,24865
200,2018,Maryland,3283636,160777
201,2018,Massachusetts,3807761,180720
202,2018,Michigan,4977773,265532
203,2018,Minnesota,3080480,104622
204,2017,Mississippi,1329899,92744
205,2017,Missouri,3078317,141163
206,2017,Montana,540463,18844
207,2017,Nebraska,1048598,34967
208,2017,Nevada,1522722,90032
209,2017,New Hampshire,759219,28888
210,2017,New Jersey,4755006,252810
211,2017,New Mexico,939545,61065
212,2017,New York,10218721,560001
213,2017,North Carolina,5143222,266777
214,2017,North Dakota,426288,12307
215,2017,Ohio,5894531,303348
216,2017,Oklahoma,1874308,99619
217,2017,Oregon,2102930,107100
218,2017,Pennsylvania,6524656,345226
219,2017,Rhode Island,574161,32751
220,2017,South Carolina,2444647,139747
221,2017,South Dakota,461825,16208
222,2017,Tennessee,3311043,162289
223,2017,Texas,14001860,716417
224,2017,Vermont,339579,12759
225,2017,Utah,1564636,55695
226,2017,Virginia,4478943,200754
227,2017,Washington,3834306,186414
228,2017,West Virginia,778673,51986
229,2017,Wisconsin,3089775,107459
230,2017,Wyoming,301010,15376
231,2017,Alabama,2207208,128302
232,2017,Alaska,389858,28267
233,2017,Arizona,3337245,192721
234,2017,Arkansas,1378801,76495
235,2017,California,20064003,1178551
236,2017,Colorado,3061921,127259
237,2017,Delaware,463756,24300
238,2017,District of Columbia,408910,26726
239,2017,Connecticut,1931298,117360
240,2017,Florida,10093485,552245
241,2017,Georgia,5185489,296040
242,2017,Idaho,825230,34000
243,2017,Hawaii,753340,29762
244,2017,Illinois,6660640,407967
245,2017,Indiana,3346097,158556
246,2017,Iowa,1681435,60190
247,2017,Kansas,1516538,63084
248,2017,Kentucky,2106749,115271
249,2017,Louisiana,2180136,141608
250,2017,Maine,702420,29493
251,2017,Maryland,3294443,170419
252,2017,Massachusetts,3776331,172091
253,2017,Michigan,4949724,291020
254,2017,Minnesota,3073117,110757
