,State,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone),Year
102,Illinois,4866006,2251401,228645,579021,1806939,1497316,2019
103,Georgia,3852714,1802484,184858,568098,1297274,1078622,2019
104,Idaho,655859,357453,30832,60694,206880,161580,2019
105,Hawaii,465299,232024,25886,58296,149093,117299,2019
106,Indiana,2597765,1221373,131391,286466,958535,789156,2019
107,Iowa,1287221,628853,56872,123077,478419,381430,2019
108,Kansas,1138329,571620,51289,110580,404840,331389,2019
109,Kentucky,1748732,830268,90479,208529,619456,509690,2019
110,Louisiana,1741076,737222,91516,285093,627245,526658,2019
111,Maine,573618,268258,23083,51553,230724,178939,2019
112,Maryland,2226767,1051319,106928,303823,764697,627269,2019
113,Massachusetts,2650680,1238203,122663,304139,985675,757803,2019
114,Michigan,3969880,1825191,201154,470205,1473330,1210588,2019
115,Minnesota,2222568,1100581,104656,196386,820945,653284,2019
116,Connecticut,1377166,649536,65892,170483,491255,399404,2019
117,Florida,7905832,3670205,404915,1008152,2822560,2264095,2019
118,Alabama,1897576,892050,80004,265829,659693,566168,2019
119,Alaska,252199,124608,12733,25793,89065,69109,2019
120,Arizona,2670441,1272331,148008,320365,929737,728663,2019
121,Arkansas,1163647,553179,51650,150476,408342,343101,2019
122,California,13157873,6490186,795365,1687092,4185230,3169002,2019
123,Colorado,2235103,1116767,103851,201226,813259,605648,2019
124,Delaware,376239,177794,19841,44949,133655,108346,2019
125,District of Columbia,291570,78331,8516,38131,166592,130485,2019
126,Mississippi,1100229,481478,51755,185149,381847,333071,2019
127,Missouri,2458337,1160554,111420,274071,912292,743724,2019
128,Montana,437651,213679,19789,35541,168642,134306,2019
129,Nebraska,771444,388538,34087,70388,278431,221565,2019
130,Nevada,1143557,506470,70547,146738,419802,326114,2019
131,New Hampshire,541396,273682,25008,47723,194983,149666,2019
132,New Jersey,3286264,1667463,164798,409294,1044709,867529,2019
133,New Mexico,793420,331505,48858,116598,296459,248530,2019
134,New York,7446812,3222615,381647,1032094,2810456,2270961,2019
135,North Carolina,4046348,1926079,183212,521074,1415983,1157599,2019
136,North Dakota,323519,151995,13101,24413,134010,108881,2019
137,Ohio,4730340,2126672,231837,584072,1787759,1470229,2019
138,Oklahoma,1495151,713636,79469,182649,519397,428168,2019
139,Oregon,1649352,780807,75257,165524,627764,464096,2019
140,Pennsylvania,5119249,2373352,248946,605926,1891025,1543550,2019
141,Rhode Island,407174,179776,21835,48376,157187,126319,2019
142,South Carolina,1975915,928870,87130,270326,689589,572757,2019
143,South Dakota,353799,177534,15601,30829,129835,105901,2019
144,Tennessee,2654737,1274887,126971,326037,926842,762965,2019
145,Texas,9985126,4954566,535307,1367768,3127485,2559502,2019
146,Vermont,262767,121034,12101,23018,106614,83141,2019
147,Utah,1023855,619250,48395,93323,262887,196193,2019
148,Virginia,3191847,1590659,139428,364676,1097084,884430,2019
149,Washington,2932477,1448372,144433,290091,1049581,780979,2019
150,West Virginia,728175,352587,38501,79384,257703,215804,2019
151,Wisconsin,2386623,1140000,106976,223140,916507,727668,2019
152,Wyoming,233128,123545,10472,18842,80269,63939,2019
153,Alabama,1855184,879227,77949,257618,640390,555330,2018
154,Alaska,254551,127824,15613,24090,87024,66253,2018
155,Arizona,2614298,1247270,151694,314042,901292,704852,2018
156,Arkansas,1156347,553461,57646,158027,387213,325971,2018
157,California,13072122,6458423,791114,1685084,4137501,3133413,2018
158,Colorado,2176757,1068185,98735,205785,804052,610855,2018
159,Delaware,367671,173834,18223,46342,129272,106275,2018
160,District of Columbia,287476,73009,10168,38352,165947,131010,2018
161,Connecticut,1378091,650317,66986,174632,486156,401058,2018
162,Florida,7809358,3638058,388082,1000375,2782843,2264215,2018
163,Georgia,3803012,1783375,183361,570670,1265606,1044144,2018
164,Idaho,640270,348814,28650,60301,202505,162681,2018
165,Hawaii,455309,235162,23152,58535,138460,111739,2018
166,Illinois,4864864,2293091,227200,598810,1745763,1437587,2018
167,Indiana,2599169,1248277,130027,304872,915993,752041,2018
168,Iowa,1267873,622142,57143,121044,467544,375230,2018
169,Kansas,1133408,570740,46800,109208,406660,331106,2018
170,Kentucky,1732713,837979,83684,217264,593786,486434,2018
171,Louisiana,1737220,748604,88289,267954,632373,532003,2018
172,Maine,570307,267015,24306,51221,227765,175631,2018
173,Maryland,2215935,1069433,101726,301213,743563,604368,2018
174,Massachusetts,2624294,1225244,109287,309674,980089,760203,2018
175,Michigan,3957466,1849470,195538,474993,1437465,1172606,2018
176,Minnesota,2194452,1103111,96300,197416,797625,630779,2018
177,Wisconsin,2371960,1150650,113129,223591,884590,700528,2018
178,Wyoming,230252,116706,8633,19186,85727,67099,2018
179,Mississippi,1108630,491760,46357,189831,380682,328697,2018
180,Missouri,2434806,1159502,109667,281707,883930,722964,2018
181,Montana,431421,213173,17827,34643,165778,129350,2018
182,Nebraska,765490,379801,34404,71423,279862,226753,2018
183,Nevada,1129810,489381,78677,138580,423172,331730,2018
184,New Hampshire,531212,274309,22189,45254,189460,146470,2018
185,New Jersey,3249567,1663794,158451,409391,1017931,845110,2018
186,New Mexico,794093,344252,45118,106008,298715,246670,2018
187,New York,7367015,3243513,360765,1028658,2734079,2205142,2018
188,North Carolina,4011462,1920236,178987,523072,1389167,1141663,2018
189,North Dakota,319355,149349,13055,25515,131436,102273,2018
190,Ohio,4685447,2112567,227620,584057,1761203,1458547,2018
191,Oklahoma,1485310,716290,79154,187863,502003,416469,2018
192,Oregon,1639970,793537,77279,156832,612322,448466,2018
193,Pennsylvania,5070931,2411269,236332,587656,1835674,1515091,2018
194,Rhode Island,406573,174713,19732,53031,159097,128183,2018
195,South Carolina,1927991,895552,86972,275749,669718,558826,2018
196,South Dakota,345449,171939,14829,32939,125742,100854,2018
197,Tennessee,2603140,1245738,127147,335283,894972,729207,2018
198,Texas,9776083,4871974,505544,1352750,3045815,2493457,2018
199,Vermont,261373,122744,12039,21021,105569,81715,2018
200,Utah,998891,608407,44835,90525,255124,193696,2018
201,Virginia,3175524,1579078,145217,370012,1081217,872563,2018
202,Washington,2895575,1454891,135919,288827,1015938,758608,2018
203,West Virginia,734703,347271,33828,80812,272792,228158,2018
204,Mississippi,1091980,482684,54881,178886,375529,327330,2017
205,Missouri,2385135,1138262,109918,279080,857875,702802,2017
206,Montana,423091,213118,17119,32489,160365,128489,2017
207,Nebraska,754490,384345,33470,67174,269501,220493,2017
208,Nevada,1094613,491128,66875,142446,394164,307721,2017
209,New Hampshire,528700,275525,25876,44812,182487,138388,2017
210,New Jersey,3218798,1654129,163028,418074,983567,818713,2017
211,New Mexico,767705,329588,46606,102898,288613,245516,2017
212,New York,7304332,3210469,372915,1036624,2684324,2172632,2017
213,North Carolina,3955069,1907659,178850,503671,1364889,1130897,2017
214,North Dakota,316306,152814,13915,23488,126089,100163,2017
215,Ohio,4667192,2136801,228915,585454,1716022,1415180,2017
216,Oklahoma,1470364,705584,74945,183615,506220,418593,2017
217,Oregon,1603635,780758,71983,158234,592660,444167,2017
218,Pennsylvania,5008751,2377086,229197,571006,1831462,1521688,2017
219,Rhode Island,408748,186052,16342,49417,156937,132122,2017
220,South Carolina,1905100,901707,79210,272343,651840,551198,2017
221,South Dakota,344260,167651,15376,30375,130858,108566,2017
222,Tennessee,2588655,1255384,120332,331772,881167,733758,2017
223,Texas,9623874,4879009,494678,1322374,2927813,2401909,2017
224,Vermont,256629,119775,10379,23494,102981,79584,2017
225,Utah,975448,592208,42979,87988,252273,191331,2017
226,Virginia,3120880,1588086,136384,366767,1029643,831439,2017
227,Washington,2840377,1418536,135946,279311,1006584,754085,2017
228,West Virginia,715308,346532,37110,77900,253766,213676,2017
229,Wisconsin,2350293,1139307,105880,233188,871918,692937,2017
230,Wyoming,225796,116508,9950,19261,80077,64313,2017
231,Alabama,1841665,856974,77556,269159,637976,551345,2017
232,Alaska,250741,123825,15002,28574,83340,63504,2017
233,Arizona,2552972,1206518,138074,307733,900647,710620,2017
234,Arkansas,1153082,552852,53801,148046,398383,336052,2017
235,California,13005097,6446965,773212,1690440,4094480,3125424,2017
236,Colorado,2139207,1062314,100541,203952,772400,578735,2017
237,Delaware,357937,176947,16516,42332,122142,99176,2017
238,District of Columbia,281475,70576,9991,38790,162118,127144,2017
239,Connecticut,1356762,649561,61317,166415,479469,393209,2017
