,Year/State,Year/State,Opioid Data,Income Data,Employment Data,Employment Data,Education Data,Education Data,Education Data,Education Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data,Family Size Data
,Year,State,Total Opioid Deaths,Median Household Income (in Inflation–Adjusted Dollars),Total in Labor Force,Total Unemployed in Civilian Labor Force,Total Surveyed,No High School Degree,High School Diploma or GED,College Degree or greater,Estimated Total Household Type(Including Living Alone),Estimated Total Family Households(Married Couples),Estimated Total Family Households(Male Householder No Spouse),Estimated Total Family Households(Female Householder No Spouse),Estimated Total Family Household(Nonfamily Households),Estimated Total Family Household(Householder Living Alone)
204,2017,Mississippi,0.0,43529.0,1329899,92744,1959341,305968,1026796,626577,1091980,482684,54881,178886,375529,327330
205,2017,Missouri,993.0,53578.0,3078317,141163,4150275,427539,2190467,1532269,2385135,1138262,109918,279080,857875,702802
206,2017,Montana,0.0,53386.0,540463,18844,723666,50729,373348,299589,423091,213118,17119,32489,160365,128489
207,2017,Nebraska,,,1048598,34967,1259254,109423,622504,527327,754490,384345,33470,67174,269501,220493
208,2017,Nevada,419.0833333,58003.0,1522722,90032,2063180,273017,1111375,678788,1094613,491128,66875,142446,394164,307721
209,2017,New Hampshire,418.4166667,73381.0,759219,28888,958005,66560,439575,451870,528700,275525,25876,44812,182487,138388
210,2017,New Jersey,0.0,80088.0,4755006,252810,6234538,628185,2711498,2894855,3218798,1654129,163028,418074,983567,818713
211,2017,New Mexico,349.9166667,46744.0,939545,61065,1391475,193565,703879,494031,767705,329588,46606,102898,288613,245516
212,2017,New York,1629.208333,64894.0,10218721,560001,13821132,1854945,5767893,6198294,7304332,3210469,372915,1036624,2684324,2172632
213,2017,North Carolina,1735.333333,52752.0,5143222,266777,6991185,853789,3288493,2848903,3955069,1907659,178850,503671,1364889,1130897
214,2017,North Dakota,0.0,61843.0,426288,12307,495904,35023,242206,218675,316306,152814,13915,23488,126089,100163
215,2017,Ohio,4266.75,54021.0,5894531,303348,7981885,777688,4274027,2930170,4667192,2136801,228915,585454,1716022,1415180
216,2017,Oklahoma,430.9166667,50051.0,1874308,99619,2586414,309014,1408147,869253,1470364,705584,74945,183615,506220,418593
217,2017,Oregon,321.3333333,60212.0,2102930,107100,2901195,262381,1404614,1234200,1603635,780758,71983,158234,592660,444167
218,2017,Pennsylvania,,,6524656,345226,8960842,844296,4551313,3565233,5008751,2377086,229197,571006,1831462,1521688
219,2017,Rhode Island,287.3333333,63870.0,574161,32751,736969,86292,345277,305400,408748,186052,16342,49417,156937,132122
220,2017,South Carolina,703.9166667,50570.0,2444647,139747,3443851,434848,1714510,1294493,1905100,901707,79210,272343,651840,551198
221,2017,South Dakota,40.16666667,56521.0,461825,16208,574559,47626,302991,223942,344260,167651,15376,30375,130858,108566
222,2017,Tennessee,1247.416667,51340.0,3311043,162289,4588453,559884,2441814,1586755,2588655,1255384,120332,331772,881167,733758
223,2017,Texas,0.0,59206.0,14001860,716417,18149346,2969023,8484877,6695446,9623874,4879009,494678,1322374,2927813,2401909
224,2017,Vermont,111.0,57513.0,339579,12759,439267,32420,201321,205526,256629,119775,10379,23494,102981,79584
225,2017,Utah,444.3333333,68358.0,1564636,55695,1827035,143535,878059,805441,975448,592208,42979,87988,252273,191331
226,2017,Virginia,1163.083333,71535.0,4478943,200754,5779221,593377,2492418,2693426,3120880,1588086,136384,366767,1029643,831439
227,2017,Washington,700.75,70979.0,3834306,186414,5101968,443963,2331899,2326106,2840377,1418536,135946,279311,1006584,754085
228,2017,West Virginia,835.3333333,43469.0,778673,51986,1279350,165261,765139,348950,715308,346532,37110,77900,253766,213676
229,2017,Wisconsin,901.4166667,59305.0,3089775,107459,3958231,301971,2020406,1635854,2350293,1139307,105880,233188,871918,692937
230,2017,Wyoming,44.88888889,60434.0,301010,15376,387700,27353,212910,147437,225796,116508,9950,19261,80077,64313
231,2017,Alabama,0.0,48123.0,2207208,128302,3309607,446943,1739082,1123582,1841665,856974,77556,269159,637976,551345
232,2017,Alaska,92.5,73181.0,389858,28267,481561,40036,260117,181408,250741,123825,15002,28574,83340,63504
233,2017,Arizona,886.8571429,56581.0,3337245,192721,4711362,604898,2315302,1791162,2552972,1206518,138074,307733,900647,710620
234,2017,Arkansas,0.0,45869.0,1378801,76495,2008398,267542,1127220,613636,1153082,552852,53801,148046,398383,336052
235,2017,California,0.0,71805.0,20064003,1178551,26679273,4449302,11183063,11046908,13005097,6446965,773212,1690440,4094480,3125424
236,2017,Colorado,0.0,69117.0,3061921,127259,3822068,319636,1614426,1888006,2139207,1062314,100541,203952,772400,578735
237,2017,Delaware,0.0,62852.0,463756,24300,673686,63551,346275,263860,357937,176947,16516,42332,122142,99176
238,2017,District of Columbia,287.8333333,82372.0,408910,26726,494614,48331,147042,299241,281475,70576,9991,38790,162118,127144
239,2017,Connecticut,935.9166667,74168.0,1931298,117360,2493854,239289,1088765,1165800,1356762,649561,61317,166415,479469,393209
240,2017,Florida,0.0,52594.0,10093485,552245,15020177,1745933,7312318,5961926,7689964,3588295,377628,977583,2746458,2217993
241,2017,Georgia,991.9166667,56183.0,5185489,296040,6896026,893436,3330548,2672042,3745074,1788755,177791,559237,1219291,1000794
242,2017,Idaho,0.0,52225.0,825230,34000,1111788,101739,604886,405163,625135,338425,26933,54416,205361,171683
243,2017,Hawaii,69.0,77765.0,753340,29762,997744,77131,484946,435667,458078,233373,28521,58442,137742,111773
244,2017,Illinois,2090.083333,62992.0,6660640,407967,8707057,949880,4066700,3690477,4808672,2277277,223035,583231,1725129,1426454
245,2017,Indiana,0.0,54181.0,3346097,158556,4435317,504862,2346905,1583550,2557299,1232773,125983,301346,897197,738296
246,2017,Iowa,196.0833333,58570.0,1681435,60190,2093909,165605,1079746,848558,1257505,634509,52144,107961,462891,366664
247,2017,Kansas,0.0,56422.0,1516538,63084,1904528,171263,922975,810290,1128983,572393,49987,111269,395334,327502
248,2017,Kentucky,0.0,48375.0,2106749,115271,3018953,412486,1641330,965137,1725034,837553,81524,210751,595206,492850
249,2017,Louisiana,,,2180136,141608,3120277,463819,1728524,927934,1737123,744011,87339,275895,629878,533354
250,2017,Maine,322.9166667,56277.0,702420,29493,971740,74787,485132,411821,540959,263878,21476,44752,210853,164809
251,2017,Maryland,2017.5,80776.0,3294443,170419,4167604,420009,1809636,1937959,2207343,1052297,104699,312834,737513,605688
252,2017,Massachusetts,1911.333333,77385.0,3776331,172091,4788573,442458,1906744,2439371,2604954,1223401,111658,317155,952740,745478
253,2017,Michigan,0.0,54909.0,4949724,291020,6819310,619966,3563864,2635480,3930017,1856750,189558,471695,1412014,1162080
254,2017,Minnesota,0.0,68388.0,3073117,110757,3778416,261634,1727896,1788886,2162211,1106647,89316,192779,773469,614838
