,Year,State,No High School Degree,High School Diploma or GED,College Degree or greater,Total Surveyed
241,2022,Oregon,254596,1411409,1377925,3043930
242,2022,Pennsylvania,715110,4413847,4022787,9151744
243,2022,Rhode Island,73992,333314,370885,778191
244,2022,South Carolina,349004,1752565,1563353,3664922
245,2022,South Dakota,41373,293034,271328,605735
246,2022,Tennessee,469512,2503104,1895494,4868110
247,2022,Texas,2722008,8704200,8171175,19597383
248,2022,Utah,142635,921686,978591,2042912
249,2022,Vermont,23468,195969,248206,467643
250,2022,Virginia,505775,2499236,2973771,5978782
251,2022,Washington,428495,2337435,2704279,5470209
252,2022,West Virginia,137151,701083,424332,1262566
253,2022,Wisconsin,266497,2007700,1814303,4088500
254,2022,Wyoming,25074,208712,166010,399796
