Year,State,Geo ID,State ID,Median Household Income (in Inflation-Adjusted Dollars),Total Opioid Deaths
2019,Kansas,0400000US20,20,62087,167.8
2019,Kentucky,0400000US21,21,52295,988.75
2019,Maine,0400000US23,23,58924,282.5
2019,Maryland,0400000US24,24,86738,2098.916667
2019,Massachusetts,0400000US25,25,85843,1945.416667
2019,Michigan,0400000US26,26,59584,1867.75
2019,Minnesota,0400000US27,27,74593,0.0
2019,Connecticut,0400000US09,09,78833,1028.416667
2019,Florida,0400000US12,12,59227,3925.333333
2019,Alabama,0400000US01,01,51734,0.0
2019,Alaska,0400000US02,02,75463,80.16666667
2019,Arizona,0400000US04,04,62055,1216.166667
2019,Arkansas,0400000US05,05,48952,0.0
2019,California,0400000US06,06,80440,3052.285714
2019,Colorado,0400000US08,08,77127,580.4545455
2019,Delaware,0400000US10,10,70176,364.4166667
2019,District of Columbia,0400000US11,11,92266,236.6666667
2018,Wisconsin,0400000US55,55,60773,885.4166667
2018,Wyoming,0400000US56,56,61584,41.41666667
2018,Mississippi,0400000US28,28,44717,0.0
2018,Missouri,0400000US29,29,54478,1072.6
2018,Montana,0400000US30,30,55328,0.0
2018,Nevada,0400000US32,32,58646,412.5
2018,New Hampshire,0400000US33,33,74991,420.0
2018,New Jersey,0400000US34,34,81740,2389.857143
2018,New Mexico,0400000US35,35,47169,329.8333333
2018,New York,0400000US36,36,67844,1542.083333
2018,North Carolina,0400000US37,37,53855,1833.583333
2018,North Dakota,0400000US38,38,63837,0.0
2018,Ohio,0400000US39,39,56111,3540.0
2018,Oklahoma,0400000US40,40,51924,324.6666667
2018,Oregon,0400000US41,41,63426,353.5
2018,Rhode Island,0400000US44,44,64340,278.9166667
2018,South Carolina,0400000US45,45,52306,777.6666667
2018,South Dakota,0400000US46,46,56274,29.5
2018,Tennessee,0400000US47,47,52375,1279.083333
2018,Texas,0400000US48,48,60629,1416.0
2018,Vermont,0400000US50,50,60782,114.5
2018,Utah,0400000US49,49,71414,461.5833333
2018,Virginia,0400000US51,51,72577,1183.666667
2018,Washington,0400000US53,53,74073,741.8333333
2018,West Virginia,0400000US54,54,44097,770.75
2018,Alabama,0400000US01,01,49861,0.0
2018,Alaska,0400000US02,02,74346,82.5
2018,Arizona,0400000US04,04,59246,1028.416667
2018,Arkansas,0400000US05,05,47062,0.0
2018,California,0400000US06,06,75277,0.0
2018,Colorado,0400000US08,08,71953,573.6
2018,Delaware,0400000US10,10,64805,329.1
2018,District of Columbia,0400000US11,11,85203,219.9166667
2018,Connecticut,0400000US09,09,76348,953.6666667
2018,Florida,0400000US12,12,55462,0.0
2018,Georgia,0400000US13,13,58756,916.25
2018,Idaho,0400000US16,16,55583,0.0
2018,Hawaii,0400000US15,15,80212,55.22222222
2018,Illinois,0400000US17,17,65030,2236.166667
2018,Indiana,0400000US18,18,55746,0.0
2018,Iowa,0400000US19,19,59955,172.0833333
2018,Kansas,0400000US20,20,58218,0.0
2018,Kentucky,0400000US21,21,50247,1048.090909
2018,Maine,0400000US23,23,55602,330.4166667
2018,Maryland,0400000US24,24,83242,2149.333333
2018,Massachusetts,0400000US25,25,79835,1989.583333
2018,Michigan,0400000US26,26,56697,2030.333333
2018,Minnesota,0400000US27,27,70315,0.0
2017,Mississippi,0400000US28,28,43529,0.0
2017,Missouri,0400000US29,29,53578,993.0
2017,Montana,0400000US30,30,53386,0.0
2017,Nevada,0400000US32,32,58003,419.0833333
2017,New Hampshire,0400000US33,33,73381,418.4166667
2017,New Jersey,0400000US34,34,80088,0.0
2017,New Mexico,0400000US35,35,46744,349.9166667
2017,New York,0400000US36,36,64894,1629.208333
2017,North Carolina,0400000US37,37,52752,1735.333333
2017,North Dakota,0400000US38,38,61843,0.0
2017,Ohio,0400000US39,39,54021,4266.75
2017,Oklahoma,0400000US40,40,50051,430.9166667
2017,Oregon,0400000US41,41,60212,321.3333333
2017,Rhode Island,0400000US44,44,63870,287.3333333
2017,South Carolina,0400000US45,45,50570,703.9166667
2017,South Dakota,0400000US46,46,56521,40.16666667
2017,Tennessee,0400000US47,47,51340,1247.416667
2017,Texas,0400000US48,48,59206,0.0
2017,Vermont,0400000US50,50,57513,111.0
2017,Utah,0400000US49,49,68358,444.3333333
2017,Virginia,0400000US51,51,71535,1163.083333
2017,Washington,0400000US53,53,70979,700.75
2017,West Virginia,0400000US54,54,43469,835.3333333
2017,Wisconsin,0400000US55,55,59305,901.4166667
2017,Wyoming,0400000US56,56,60434,44.88888889
2017,Alabama,0400000US01,01,48123,0.0
2017,Alaska,0400000US02,02,73181,92.5
2017,Arizona,0400000US04,04,56581,886.8571429
2017,Arkansas,0400000US05,05,45869,0.0
2017,California,0400000US06,06,71805,0.0
2017,Colorado,0400000US08,08,69117,0.0
2017,Delaware,0400000US10,10,62852,0.0
2017,District of Columbia,0400000US11,11,82372,287.8333333
2017,Connecticut,0400000US09,09,74168,935.9166667
2017,Florida,0400000US12,12,52594,0.0
2017,Georgia,0400000US13,13,56183,991.9166667
2017,Idaho,0400000US16,16,52225,0.0
2017,Hawaii,0400000US15,15,77765,69.0
2017,Illinois,0400000US17,17,62992,2090.083333
2017,Indiana,0400000US18,18,54181,0.0
2017,Iowa,0400000US19,19,58570,196.0833333
2017,Kansas,0400000US20,20,56422,0.0
2017,Kentucky,0400000US21,21,48375,0.0
2017,Maine,0400000US23,23,56277,322.9166667
2017,Maryland,0400000US24,24,80776,2017.5
2017,Massachusetts,0400000US25,25,77385,1911.333333
2017,Michigan,0400000US26,26,54909,0.0
2017,Minnesota,0400000US27,27,68388,0.0
